,FisrtPara,FirstSente,ParaLoc,SenteLoc,SenteLen,ThematicWords,ProperNouns,StatRatio,Included
34463,0,0,0.43578794817037836,0.2424871078332819,30,1.1695906432748537,2.312138728323699,0.0,0
34464,0,0,0.43578794817037836,0.18676626350159073,20,1.6260162601626016,0.0,0.0,1
34465,0,0,0.43578794817037836,0.44430759348985394,27,1.2820512820512822,6.329113924050633,0.0,0
34466,0,0,0.43578794817037836,0.2933545710529936,2,0.0,0.0,0.0,0
34467,0,0,0.43578794817037836,0.127307291136071,9,0.0,2.9850746268656714,0.0,0
34468,0,0,0.43578794817037836,0.4309234169622851,11,0.0,0.0,0.0,1
34469,0,0,0.43578794817037836,0.3383505405385299,30,1.7241379310344827,2.2598870056497176,0.0,0
34470,1,1,1.0471975511965976,3.141592653589793,18,2.0408163265306123,2.0,0.0,1
34471,0,1,0.5658032516109911,0.5235987755982988,27,2.0689655172413794,0.0,2.027027027027027,0
34472,0,0,0.5658032516109911,0.28290162580549555,23,2.2388059701492535,0.0,0.0,0
34473,0,0,0.5658032516109911,0.21789397408518918,13,4.225352112676056,2.7027027027027026,0.0,1
34474,0,0,0.5658032516109911,0.5183588590714963,19,1.7391304347826086,5.128205128205128,0.0,0
34475,0,0,0.5658032516109911,0.34224699956182586,20,0.9803921568627451,1.9417475728155338,2.9126213592233006,0
34476,0,0,0.5658032516109911,0.14852517299208282,25,0.7299270072992701,0.0,0.0,0
34477,0,1,0.43578794817037836,0.28559933214452665,27,2.4390243902439024,1.1904761904761905,0.0,1
34478,0,0,0.43578794817037836,0.15430997771208846,23,4.237288135593221,3.2520325203252036,2.439024390243903,1
34479,0,0,0.43578794817037836,0.11885125859192137,28,2.7777777777777777,3.2432432432432434,0.0,1
34480,0,0,0.43578794817037836,0.2827411958571798,17,0.8620689655172413,0.0,0.0,0
34481,0,0,0.43578794817037836,0.18668018157917776,16,0.0,1.9047619047619049,0.0,0
34482,0,0,0.43578794817037836,0.08101373072295427,31,3.75,1.2048192771084338,0.0,0
34483,0,0,0.43578794817037836,0.27422399261236324,24,2.4193548387096775,3.149606299212598,2.3622047244094486,0
34484,0,0,0.43578794817037836,0.21531398034270086,18,0.0,7.792207792207792,0.0,0
34485,0,0,0.43578794817037836,0.04155471248274607,19,3.9215686274509802,5.660377358490567,0.0,1
34486,0,0,0.43578794817037836,0.2602181942909314,15,2.5974025974025974,0.0,0.0,0
34487,0,0,0.43578794817037836,0.2396382683257216,35,1.4018691588785046,4.6082949308755765,0.0,1
34488,0,0,0.43578794817037836,0.0012639763896606796,19,0.7194244604316546,0.0,0.0,0
34489,1,1,0.7853981633974483,3.141592653589793,19,0.9345794392523364,5.555555555555555,0.0,0
34490,0,1,0.4243524387082433,1.0471975511965976,27,1.408450704225352,1.3888888888888888,2.083333333333333,0
34491,0,0,0.4243524387082433,0.5658032516109911,28,1.408450704225352,4.166666666666666,4.166666666666666,1
34492,0,0,0.4243524387082433,0.43578794817037836,10,0.0,10.909090909090908,0.0,1
34493,0,1,0.32684096112778377,0.4487989505128276,26,0.6666666666666666,1.3245033112582782,0.0,0
34494,0,0,0.32684096112778377,0.2424871078332819,33,1.1428571428571428,1.1299435028248588,0.0,0
34495,0,0,0.32684096112778377,0.18676626350159073,9,1.7241379310344827,0.0,0.0,0
34496,0,0,0.32684096112778377,0.44430759348985394,11,0.0,9.090909090909092,4.545454545454546,0
34497,0,0,0.32684096112778377,0.2933545710529936,23,2.5,3.2520325203252036,2.439024390243903,0
34498,0,0,0.32684096112778377,0.127307291136071,29,1.9230769230769231,5.031446540880504,0.0,1
34499,0,0,0.32684096112778377,0.4309234169622851,23,0.7518796992481203,2.9850746268656714,0.0,1
34500,0,1,0.7775382886072444,0.3490658503988659,14,1.2658227848101267,0.0,0.0,0
34501,0,0,0.7775382886072444,0.18860108387033037,30,1.1299435028248588,4.4692737430167595,0.0,1
34502,0,0,0.7775382886072444,0.14526264939012612,26,0.6993006993006993,1.3888888888888888,0.0,0
34503,0,0,0.7775382886072444,0.34557257271433084,17,3.125,4.040404040404041,0.0,1
34504,0,0,0.7775382886072444,0.22816466637455057,12,2.857142857142857,5.555555555555555,0.0,1
34505,0,0,0.7775382886072444,0.09901678199472189,24,0.8620689655172413,0.0,0.0,0
34506,0,0,0.7775382886072444,0.33516265763733283,25,2.0134228187919465,7.894736842105263,1.9736842105263157,1
34507,0,0,0.7775382886072444,0.2631615315299677,22,1.680672268907563,3.3057851239669422,2.479338842975207,0
34508,0,0,0.7775382886072444,0.05078909303446742,20,0.8264462809917356,4.918032786885246,0.0,0
34509,1,1,0.7853981633974483,3.141592653589793,26,1.4184397163120568,2.797202797202797,0.0,0
34510,0,1,0.4243524387082433,0.7853981633974483,20,1.7391304347826086,8.547008547008547,0.0,0
34511,0,0,0.4243524387082433,0.4243524387082433,27,2.7586206896551726,0.0,2.013422818791946,1
34512,0,0,0.4243524387082433,0.32684096112778377,12,5.769230769230769,0.0,0.0,1
34513,0,0,0.4243524387082433,0.7775382886072444,43,0.43478260869565216,0.0,0.0,0
34514,0,1,0.32684096112778377,0.7853981633974483,31,0.0,0.0,0.0,0
34515,0,0,0.32684096112778377,0.4243524387082433,20,0.0,0.0,0.0,0
34516,0,0,0.32684096112778377,0.32684096112778377,23,1.4814814814814814,2.9197080291970803,0.0,0
34517,0,0,0.32684096112778377,0.7775382886072444,17,0.9345794392523364,5.555555555555555,2.7777777777777777,0
34518,0,0,0.32684096112778377,0.5133704993427388,26,0.7299270072992701,1.4492753623188406,0.0,1
34519,0,1,0.7775382886072444,0.5235987755982988,24,0.6451612903225806,0.0,0.0,0
34520,0,0,0.7775382886072444,0.28290162580549555,28,0.6622516556291391,3.9473684210526314,1.9736842105263157,1
34521,0,0,0.7775382886072444,0.21789397408518918,33,0.6134969325153374,0.0,5.48780487804878,0
34522,0,0,0.7775382886072444,0.5183588590714963,18,0.9523809523809523,3.7735849056603774,0.0,0
34523,0,0,0.7775382886072444,0.34224699956182586,40,0.4854368932038835,0.0,8.695652173913043,1
34524,0,0,0.7775382886072444,0.14852517299208282,30,0.6410256410256411,0.0,1.910828025477707,0
34525,0,0,0.7775382886072444,0.5027439864559993,11,1.8181818181818181,3.571428571428571,0.0,0
34526,0,0,0.7775382886072444,0.3947422972949515,33,1.6483516483516483,0.0,6.486486486486487,1
